chr	tss	symbol	PromoterActivityQuantile	Expression	isExpressed
chr1	6701815	ENSG00000007923:N.N.N	44.16477595008508	1	True
chr1	6785453	ENSG00000171735:N.N.N	64.11656267725468	1	True
chr1	7771295	ENSG00000049245:N.N.N	85.32331253545094	1	True
chr1	7961710	ENSG00000116288:N.N.N	70.96568349404424	1	True
chr1	8026308	ENSG00000116285:N.N.N	73.8726602382303	1	True
chr1	8817464	ENSG00000142599:N.N.N	19.87379466817924	1	True
chr1	8878688	ENSG00000074800:N.N.N	71.51871809415769	1	True
chr1	9129101	ENSG00000180758:U.N.D	8.416052183777651	1	True
chr1	9198702	ENSG00000228526:U.N.N	47.34117980714691	1	True
chr1	9239843	ENSG00000049239:U.N.N	13.06012478729438	1	True
chr1	9292893	ENSG00000171621:N.N.N	22.15683494044243	1	True
chr1	9539464	ENSG00000171612:N.N.N	72.97929665343165	1	True
chr1	9588910	ENSG00000188807:N.N.N	6.055019852524107	1	True
chr1	9651744	ENSG00000171608:U.D.N	36.57827566647759	1	True
chr1	9687554	ENSG00000231789:N.N.N	8.238797504254112	1	True
chr1	9824525	ENSG00000171603:N.N.N	35.96851956891662	1	True
chr1	9910268	ENSG00000178585:N.N.N	31.71440726035167	1	True
chr1	9943390	ENSG00000162441:N.N.N	78.2402155416903	1	True
chr1	9943474	ENSG00000173614:N.N.N	38.9322178105502	1	True
chr1	9997227	ENSG00000162444:U.D.N	44.37039137833239	1	True
chr1	10032957	ENSG00000130939:N.N.N	40.38570618264322	1	True
chr1	10210804	ENSG00000054523:N.N.N	78.14804310833806	1	True
chr1	10399063	ENSG00000142657:N.N.N	67.83182076006807	1	True
chr1	10430432	ENSG00000175279:N.N.D	91.78956324446965	1	True
chr1	10472528	ENSG00000160049:N.N.N	71.88031764038571	1	True
chr1	10474949	ENSG00000142655:N.N.D	12.63471355643789	1	True
chr1	10796645	ENSG00000130940:U.N.N	13.51389676687465	1	True
chr1	11012399	ENSG00000120948:N.N.N	88.87549631310267	1	True
chr1	11029757	ENSG00000271895:N.N.N	22.51134429948951	1	True
chr1	11060017	ENSG00000116649:N.N.N	15.09500850822462	1	True
chr1	11099868	ENSG00000171824:N.N.N	91.19398752127056	1	True
chr1	11262506	ENSG00000198793:N.N.N	45.45519001701645	1	True
chr1	11273205	ENSG00000120942:N.N.N	65.56296086216676	1	True
chr1	11609467	ENSG00000235643:N.N.N	46.90867838910948	1	True
chr1	11654428	ENSG00000116661:N.N.D	9.912081678956325	1	True
chr1	11654880	ENSG00000132879:N.N.D	11.06069200226886	1	True
chr1	11664199	ENSG00000116663:U.N.D	7.536868973340896	1	True
chr1	11691649	ENSG00000116670:N.N.D	18.98752127056154	1	True
chr1	11736135	ENSG00000177674:U.N.N	8.011911514463982	1	True
chr1	11805412	ENSG00000177000:U.U.N	12.40782756664776	1	True
chr1	11806190	ENSG00000011021:U.N.N	30.65087918321044	1	True
chr1	11858944	ENSG00000120937:U.N.N	99.93618831537152	1	True
chr1	11926426	ENSG00000116685:N.N.D	15.87492909812819	1	True
chr1	11934716	ENSG00000083444:N.N.D	21.53289846851957	1	True
chr1	11980311	ENSG00000116688:N.N.N	45.34174702212138	1	True
chr1	12019497	ENSG00000116691:U.N.N	7.359614293817357	1	True
chr1	12230029	ENSG00000048707:U.N.N	89.96738513896767	1	True
chr1	12618209	ENSG00000162496:N.U.N	9.862450368689734	1	True
chr1	13704854	ENSG00000116731:N.N.N	63.77623369256948	1	True
chr1	15153746	ENSG00000171729:N.N.N	11.47192285876347	1	True
chr1	15409887	ENSG00000142634:N.N.D	8.288428814520703	1	True
chr1	15524214	ENSG00000132906:N.N.N	57.25326148610323	1	True
chr1	15526847	ENSG00000116138:N.N.U	69.78871242200795	1	True
chr1	15565955	ENSG00000272510:N.N.N	88.66279069767442	1	True
chr1	15585050	ENSG00000116771:N.U.N	29.60862166761202	1	True
chr1	15617457	ENSG00000197312:N.N.N	23.4472490073738	1	True
chr1	15684319	ENSG00000116786:N.N.N	12.95377197958026	1	True
chr1	15736257	ENSG00000162461:N.N.N	14.3930799773114	1	True
chr1	15742498	ENSG00000162460:N.N.N	0.2765173000567215	1	True
chr1	15764498	ENSG00000162458:U.D.N	25.97844583096994	1	True
chr1	15809347	ENSG00000233954:N.N.N	58.69965967101531	1	True
chr1	15828231	ENSG00000178715:N.N.N	96.75269427112876	1	True
chr1	15847706	ENSG00000065526:N.N.N	19.85252410663642	1	True
chr1	15848146	ENSG00000179743:N.N.N	32.30998298355077	1	True
chr1	15976131	ENSG00000116809:N.N.N	6.778218944980147	1	True
chr1	16155210	ENSG00000227959:N.N.N	7.827566647759501	1	True
chr1	16156068	ENSG00000142627:N.N.N	36.00397050482132	1	True
chr1	16159265	ENSG00000224621:N.N.N	64.5136131593874	1	True
chr1	16212651	ENSG00000142632:N.N.N	16.52722631877482	1	True
chr1	16237182	ENSG00000132881:U.N.N	6.25354509359047	1	True
chr1	16352479	ENSG00000037637:N.N.U	53.42456040839478	1	True
chr1	16367241	ENSG00000055070:N.N.D	19.48383437322745	1	True
chr1	16440735	ENSG00000157191:N.N.N	51.05643788996029	1	True
chr1	16492700	ENSG00000080947:N.N.N	41.53431650595576	1	True
chr1	16613486	ENSG00000219481:U.N.N	73.34089619965967	1	True
chr1	16657231	ENSG00000215908:N.N.N	1.623652864435621	1	True
chr1	16758871	ENSG00000186715:N.N.N	6.38825865002836	1	True
chr1	16889517	ENSG00000238142:N.U.N	26.53857061826432	1	True
chr1	16921930	ENSG00000058453:N.N.N	36.81225184344866	1	True
chr1	16980834	ENSG00000117122:N.N.N	17.61911514463982	1	True
chr1	17011927	ENSG00000159363:N.N.N	5.636698808848553	1	True
chr1	17054169	ENSG00000117118:N.N.N	62.05331820760068	1	True
chr1	17439676	ENSG00000179051:N.N.N	27.71554169030063	1	True
chr1	17539697	ENSG00000074964:N.N.N	2.914066931366988	1	True
chr1	18902554	ENSG00000159423:U.D.N	7.884288145207034	1	True
chr1	18956675	ENSG00000169991:U.D.D	53.75070901871809	1	True
chr1	19075510	ENSG00000272084:N.N.N	83.90527509926262	1	True
chr1	19210265	ENSG00000127481:U.N.N	24.20589903573454	1	True
chr1	19251523	ENSG00000127463:N.N.N	43.65428247305729	1	True
chr1	19251804	ENSG00000053372:N.N.N	66.626488939308	1	True
chr1	19312145	ENSG00000053371:N.N.N	29.77878615995462	1	True
chr1	19312325	ENSG00000040487:U.N.N	15.57714123652864	1	True
chr1	19484663	ENSG00000077549:N.N.D	74.15626772546796	1	True
chr1	19596978	ENSG00000173436:N.N.N	88.69824163357913	1	True
chr1	19643231	ENSG00000158747:N.N.D	10.22404991491775	1	True
chr1	19799916	ENSG00000162542:N.N.N	23.29126488939308	1	True
chr1	19882394	ENSG00000169914:N.N.N	62.90414066931367	1	True
chr1	20486209	ENSG00000162545:N.N.N	63.62733976176971	1	True
chr1	20508150	ENSG00000090432:N.N.N	47.91548496880318	1	True
chr1	20633457	ENSG00000158828:N.N.N	5.204197390811117	1	True
chr1	20652192	ENSG00000117242:N.N.N	59.67810550198525	1	True
chr1	20661543	ENSG00000244038:N.N.N	31.92711287577992	1	True
chr1	20732702	ENSG00000189410:U.D.N	97.03630175836642	1	True
chr1	20786651	ENSG00000127483:N.N.N	44.41293250141804	1	True
chr1	21176846	ENSG00000075151:N.N.U	68.42030629608621	1	True
chr1	21290462	ENSG00000117298:N.N.N	8.63584798638684	1	True
chr1	21427966	ENSG00000227001:N.N.N	94.17186613726602	1	True
chr1	21440312	ENSG00000142794:N.N.N	59.72773681225184	1	True
chr1	21620040	ENSG00000076864:U.N.N	27.19795802609189	1	True
chr1	21783605	ENSG00000090686:N.N.N	86.9540555870675	1	True
chr1	21937309	ENSG00000142798:N.N.N	5.835224049914918	1	True
chr1	22025510	ENSG00000070831:N.N.N	85.59982983550766	1	True
chr1	22030655	ENSG00000218510:N.N.N	73.12819058423142	1	True
chr1	22451850	ENSG00000184677:N.N.N	41.43505388542258	1	True
chr1	23019492	ENSG00000004487:N.N.N	76.36840612592172	1	True
chr1	23177807	ENSG00000169641:N.N.N	60.97560975609756	1	True
chr1	23287487	ENSG00000261326:N.N.N	30.8494044242768	1	True
chr1	23344309	ENSG00000125944:N.N.N	72.33408961996597	1	True
chr1	23369235	ENSG00000249087:N.N.N	12.60635280771412	1	True
chr1	23369835	ENSG00000125945:N.N.U	96.73142370958594	1	True
chr1	23424739	ENSG00000204219:N.N.N	20.26375496313103	1	True
chr1	23484178	ENSG00000088280:N.N.N	19.90924560408395	1	True
chr1	23531232	ENSG00000007968:D.N.D	34.72773681225184	1	True
chr1	23559500	ENSG00000117318:N.N.D	8.763471355643789	1	True
chr1	23691805	ENSG00000142676:N.N.N	93.8953488372093	1	True
chr1	23743154	ENSG00000011007:N.N.N	38.85422575155984	1	True
chr1	23778282	ENSG00000236810:N.N.N	79.13357912648894	1	True
chr1	23778417	ENSG00000057757:N.N.D	38.88258650028361	1	True
chr1	23791144	ENSG00000011009:N.N.N	8.068633011911514	1	True
chr1	23800753	ENSG00000117308:N.N.D	24.05700510493477	1	True
chr1	23825428	ENSG00000117305:U.N.N	38.94639818491208	1	True
chr1	23868293	ENSG00000179163:N.N.N	28.85706182643222	1	True
chr1	23956838	ENSG00000189266:N.N.N	69.17895632444697	1	True
chr1	23980318	ENSG00000188529:N.N.N	51.58820192853091	1	True
chr1	24143139	ENSG00000142677:N.N.N	6.70022688598979	1	True
chr1	24187288	ENSG00000185436:U.N.N	33.82019285309132	1	True
chr1	24415096	ENSG00000001460:U.N.U	58.28842881452071	1	True
chr1	24415801	ENSG00000001461:N.N.N	35.33749290981282	1	True
chr1	24502835	ENSG00000117602:N.N.N	40.71185479296653	1	True
chr1	24643301	ENSG00000133226:N.N.N	59.78445830969937	1	True
chr1	24745446	ENSG00000169504:N.N.N	62.54963131026659	1	True
chr1	25232501	ENSG00000117614:N.N.U	74.83692569483834	1	True
chr1	25247453	ENSG00000117616:N.N.N	16.59812819058423	1	True
chr1	25338333	ENSG00000183726:N.N.N	67.0022688598979	1	True
chr1	25430896	ENSG00000204178:N.N.U	92.93108338060125	1	True
chr1	25543579	ENSG00000157978:N.N.D	21.90158820192853	1	True
chr1	25617467	ENSG00000117643:N.N.N	12.45036868973341	1	True
chr1	25800192	ENSG00000162430:N.N.D	23.41888825865003	1	True
chr1	25820192	ENSG00000117640:N.N.N	41.55558706749859	1	True
chr1	25859457	ENSG00000127423:N.N.D	61.18122518434487	1	True
chr1	25871252	ENSG00000182749:N.N.D	13.86840612592172	1	True
chr1	25906465	ENSG00000117632:N.N.N	95.86642087351106	1	True
chr1	25998062	ENSG00000158006:N.N.N	48.56069200226886	1	True
chr1	26111836	ENSG00000175087:N.N.N	58.16080544526375	1	True
chr1	26169907	ENSG00000142684:N.N.N	11.40102098695406	1	True
chr1	26177508	ENSG00000142675:N.N.N	28.155133295519	1	True
chr1	26209740	ENSG00000236155:D.N.N	7.777935337492909	1	True
chr1	26234201	ENSG00000130695:N.N.N	66.93845717526943	1	True
chr1	26280085	ENSG00000142669:N.D.D	68.1083380601248	1	True
chr1	26318362	ENSG00000158062:N.N.N	12.28729438457175	1	True
chr1	26360079	ENSG00000176092:U.N.N	37.06040839478162	1	True
chr1	26432354	ENSG00000117682:N.N.N	61.69171866137266	1	True
chr1	26472439	ENSG00000198830:N.N.N	77.61627906976744	1	True
chr1	26545851	ENSG00000117676:N.D.D	35.85507657402155	1	True
chr1	26696014	ENSG00000117713:N.N.N	36.91860465116279	1	True
chr1	26788194	ENSG00000060642:N.N.N	33.99744753261486	1	True
chr1	26826687	ENSG00000204160:N.N.N	45.92314237095859	1	True
chr1	26863148	ENSG00000175793:N.N.N	14.61287577992059	1	True
chr1	26890282	ENSG00000142751:N.N.N	40.96710153148043	1	True
chr1	26900466	ENSG00000198746:N.N.N	26.48893930799773	1	True
chr1	26913974	ENSG00000131910:N.U.N	1.318774815655133	1	True
chr1	26921742	ENSG00000090273:N.N.N	50.27651730005672	1	True
chr1	26960467	ENSG00000175707:N.U.N	8.99035734543392	1	True
chr1	26993691	ENSG00000253368:N.N.U	95.37010777084515	1	True
chr1	27012849	ENSG00000158246:U.D.N	18.41321610890527	1	True
chr1	27155124	ENSG00000090020:N.N.N	29.9276800907544	1	True
chr1	27234631	ENSG00000142784:N.N.N	17.31423709585933	1	True
chr1	27322144	ENSG00000186501:N.N.N	17.82473057288712	1	True
chr1	27344872	ENSG00000142765:N.N.N	5.934486670448099	1	True
chr1	27366960	ENSG00000142733:N.N.D	11.97532614861032	1	True
chr1	27392621	ENSG00000181773:N.N.N	97.94384571752694	1	True
chr1	27490166	ENSG00000158195:N.N.N	45.93023255813954	1	True
chr1	27603631	ENSG00000126705:N.N.N	7.763754963131027	1	True
chr1	27672177	ENSG00000126709:N.N.N	10.02552467385139	1	True
chr1	27726056	ENSG00000009780:N.N.N	76.65910380034033	1	True
chr1	27773218	ENSG00000117758:N.N.N	65.05246738513897	1	True
chr1	27830781	ENSG00000117751:N.N.N	75.68774815655134	1	True
chr1	27872543	ENSG00000130775:D.N.N	16.33579126488939	1	True
chr1	27914745	ENSG00000117748:N.N.N	81.1542824730573	1	True
chr1	27934999	ENSG00000130768:N.N.N	28.34656834940442	1	True
chr1	27959461	ENSG00000158156:N.N.N	9.812819058423143	1	True
chr1	28088609	ENSG00000158161:N.N.N	53.31111741349972	1	True
chr1	28193935	ENSG00000169403:N.N.N	26.69455473624504	1	True
chr1	28233028	ENSG00000126698:N.N.N	80.96284741917187	1	True
chr1	28236123	ENSG00000130770:D.N.D	22.03630175836642	1	True
chr1	28259517	ENSG00000130766:U.U.N	10.85507657402155	1	True
chr1	28329039	ENSG00000130772:N.N.N	66.90300623936471	1	True
chr1	28438170	ENSG00000204138:N.N.N	69.43420306296086	1	True
chr1	28505979	ENSG00000242125:N.N.N	25.06381168462847	1	True
chr1	28505979	ENSG00000180198:N.N.D	32.52268859897902	1	True
chr1	28508558	ENSG00000200087:N.N.N	44.73908111174135	1	True
chr1	28544459	ENSG00000279443:N.N.N	24.15626772546795	1	True
chr1	28553084	ENSG00000180098:N.N.N	81.70731707317073	1	True
chr1	28582985	ENSG00000197989:N.N.N	20.52609188882586	1	True
chr1	28592494	ENSG00000188060:N.D.N	10.88343732274532	1	True
chr1	28643004	ENSG00000120656:N.N.N	68.2643221781055	1	True
chr1	28668779	ENSG00000162419:N.N.N	77.39648326715826	1	True
chr1	28736620	ENSG00000198492:N.N.N	72.31990924560408	1	True
chr1	28887090	ENSG00000159023:N.N.N	51.94271128757799	1	True
chr1	29122500	ENSG00000253304:N.N.N	33.42314237095859	1	True
chr1	29181899	ENSG00000116350:N.N.N	44.65399886557005	1	True
chr1	29230931	ENSG00000116353:N.N.N	56.5655133295519	1	True
chr1	29236515	ENSG00000060656:N.N.N	2.687180941576857	1	True
chr1	30908757	ENSG00000162512:N.N.N	41.99517867271696	1	True
chr1	31065694	ENSG00000134644:N.N.N	48.48979013045945	1	True
chr1	31239886	ENSG00000084628:U.N.N	93.47702779353375	1	True
chr1	31296787	ENSG00000060688:N.N.N	79.1761202495746	1	True
chr1	31296981	ENSG00000121766:N.N.N	81.71440726035168	1	True
chr1	31373075	ENSG00000121769:U.D.N	97.43335224049915	1	True
chr1	31409564	ENSG00000168528:U.N.N	3.346568349404424	1	True
chr1	31488929	ENSG00000215899:N.N.N	94.1151446398185	1	True
chr1	31576514	ENSG00000142910:N.N.N	37.16676120249575	1	True
chr1	31644875	ENSG00000162517:N.N.N	46.88031764038571	1	True
chr1	31938367	ENSG00000184007:N.N.N	73.13528077141237	1	True
chr1	32013867	ENSG00000121774:N.N.N	76.5527509926262	1	True
chr1	32072938	ENSG00000121775:N.N.N	32.75666477595009	1	True
chr1	32108055	ENSG00000025800:N.N.N	67.14407260351673	1	True
chr1	32180064	ENSG00000084652:N.N.N	32.37379466817924	1	True
chr1	32200632	ENSG00000160050:N.N.N	8.472773681225185	1	True
chr1	32205670	ENSG00000160051:N.N.N	73.6883153715258	1	True
chr1	32222324	ENSG00000160055:N.N.N	76.14861032331254	1	True
chr1	32222369	ENSG00000084623:N.N.D	68.76772546795236	1	True
chr1	32292082	ENSG00000116478:N.N.N	64.3930799773114	1	True
chr1	32336232	ENSG00000175130:N.N.N	56.25354509359047	1	True
chr1	32394425	ENSG00000160058:N.N.N	36.74844015882019	1	True
chr1	32539426	ENSG00000160062:N.N.U	76.4322178105502	1	True
chr1	32650583	ENSG00000176261:N.N.N	48.77339761769711	1	True
chr1	32651207	ENSG00000162521:N.N.N	77.0986954055587	1	True
chr1	32741829	ENSG00000162522:N.N.N	22.40499149177538	1	True
chr1	32817652	ENSG00000116497:N.N.N	78.36783891094724	1	True
chr1	32818152	ENSG00000134684:U.U.N	88.72660238230289	1	True
chr1	32870911	ENSG00000160097:N.N.N	56.60805445263755	1	True
chr1	32901388	ENSG00000121900:U.N.D	8.834373227453204	1	True
chr1	32964684	ENSG00000116514:U.N.N	65.51332955190017	1	True
chr1	33036991	ENSG00000004455:N.N.N	67.36386840612592	1	True
chr1	33182042	ENSG00000116525:N.N.N	26.85053885422575	1	True
chr1	33256491	ENSG00000160094:N.N.N	10.8125354509359	1	True
chr1	33375592	ENSG00000134686:N.N.N	29.53062960862167	1	True
chr1	33472644	ENSG00000121903:N.N.U	51.8930799773114	1	True
chr1	34859748	ENSG00000163866:N.N.N	64.42144072603517	1	True
chr1	34978705	ENSG00000241014:N.N.N	60.0964265456608	1	True
chr1	35031944	ENSG00000163867:N.N.N	58.01900170164492	1	True
chr1	35032171	ENSG00000197056:N.N.N	53.11968235961429	1	True
chr1	35193144	ENSG00000116560:D.N.N	68.51247872943846	1	True
chr1	35268966	ENSG00000146463:N.N.N	88.94639818491208	1	True
chr1	35557402	ENSG00000142687:N.N.N	47.92257515598412	1	True
chr1	35557798	ENSG00000020129:N.N.N	7.324163357912649	1	True
chr1	35641525	ENSG00000126067:N.N.D	78.98468519568917	1	True
chr1	35718883	ENSG00000142686:N.N.N	87.379466817924	1	True
chr1	35769977	ENSG00000092853:D.N.D	85.00425411230856	1	True
chr1	35808015	ENSG00000134698:N.N.N	34.95462280204197	1	True
chr1	35883208	ENSG00000092847:N.N.N	38.43590470788429	1	True
chr1	35931104	ENSG00000126070:N.N.N	49.88655700510493	1	True
chr1	36088891	ENSG00000116863:N.N.N	36.15995462280204	1	True
chr1	36149513	ENSG00000054116:N.N.N	71.88740782756665	1	True
chr1	36156201	ENSG00000116871:N.N.N	12.23766307430516	1	True
chr1	36224442	ENSG00000054118:N.N.N	64.00311968235961	1	True
chr1	36307109	ENSG00000214193:N.N.N	33.47277368122518	1	True
chr1	36324153	ENSG00000142694:N.N.N	1.652013613159387	1	True
chr1	36385887	ENSG00000196182:U.N.N	19.76744186046512	1	True
chr1	36397907	ENSG00000181817:N.N.D	31.98383437322745	1	True
chr1	36450432	ENSG00000116885:N.N.U	93.50538854225752	1	True
chr1	36464383	ENSG00000116898:N.N.N	45.37719795802609	1	True
chr1	36483277	ENSG00000119535:N.N.N	7.005104934770278	1	True
chr1	37474385	ENSG00000233621:U.N.N	19.75326148610323	1	True
chr1	37474579	ENSG00000163874:N.N.D	10.86925694838344	1	True
chr1	37514762	ENSG00000163875:N.N.N	88.26574021554168	1	True
chr1	37554292	ENSG00000163877:N.N.N	75.38287010777084	1	True
chr1	37556918	ENSG00000163879:N.N.N	56.09756097560975	1	True
chr1	37595936	ENSG00000134697:N.N.N	92.11571185479296	1	True
chr1	37690519	ENSG00000116922:N.N.N	59.03289846851957	1	True
chr1	37692515	ENSG00000134690:N.N.D	48.91520136131594	1	True
chr1	37793801	ENSG00000185090:U.N.D	70.78133862733976	1	True
chr1	37807789	ENSG00000197982:N.N.N	28.80034032898469	1	True
chr1	37808207	ENSG00000196449:N.N.N	82.20363017583664	1	True
chr1	37859591	ENSG00000188786:N.N.N	60.59982983550766	1	True
chr1	37947052	ENSG00000204084:N.N.N	77.8644356211004	1	True
chr1	37990021	ENSG00000183431:N.N.N	91.07345433919456	1	True
chr1	38005513	ENSG00000183386:N.N.N	53.89960294951787	1	True
chr1	38012733	ENSG00000183520:N.N.N	93.91661939875213	1	True
chr1	38859771	ENSG00000116954:U.N.N	86.52155416903007	1	True
chr1	38873347	ENSG00000214114:D.N.N	79.60862166761203	1	True
chr1	38991275	ENSG00000174574:N.N.N	73.23454339194555	1	True
chr1	39026317	ENSG00000168653:N.N.N	72.02212138400454	1	True
chr1	39084166	ENSG00000127603:N.N.N	56.16846284741917	1	True
chr1	39491635	ENSG00000183682:N.N.N	9.373227453204764	1	True
chr1	39576789	ENSG00000090621:N.N.D	43.04452637549631	1	True
chr1	39738900	ENSG00000084072:N.N.N	54.99149177538287	1	True
chr1	39788864	ENSG00000116985:U.D.N	87.31565513329552	1	True
chr1	39883505	ENSG00000043514:N.N.N	88.71951219512195	1	True
chr1	39902012	ENSG00000116990:N.N.N	59.40867838910948	1	True
chr1	40040232	ENSG00000131236:N.N.N	87.11003970504821	1	True
chr1	40097726	ENSG00000131238:N.N.N	98.4117980714691	1	True
chr1	40161386	ENSG00000117000:N.N.N	71.23511060692002	1	True
chr1	40257966	ENSG00000259943:N.N.N	54.55899035734544	1	True
chr1	40258235	ENSG00000084073:N.N.N	69.4412932501418	1	True
chr1	40317285	ENSG00000049089:N.N.N	16.7966534316506	1	True
chr1	40373726	ENSG00000084070:N.N.N	35.86925694838344	1	True
chr1	40450475	ENSG00000187801:U.U.U	97.5964265456608	1	True
chr1	40464318	ENSG00000260920:U.U.N	93.20760068065798	1	True
chr1	40477289	ENSG00000187815:N.N.N	74.97872943845718	1	True
chr1	40508746	ENSG00000164002:N.N.N	80.45235394214407	1	True
chr1	40531572	ENSG00000117010:N.N.N	78.4954622802042	1	True
